Order ID, Amount , Profit ,Quantity,Category,Sub-Category,PaymentMode,Order Date,CustomerName,State,City,Year-Month
B-26776,"$9,726 ","$1,275 ",5,Electronics,Electronic Games,UPI,27-Jun-23,David Padilla,Florida,Miami,2023-06
B-26776,"$9,726 ","$1,275 ",5,Electronics,Electronic Games,UPI,27-Dec-24,Connor Morgan,Illinois,Chicago,2024-12
B-26776,"$9,726 ","$1,275 ",5,Electronics,Electronic Games,UPI,25-Jul-21,Robert Stone,New York,Buffalo,2021-07
B-26776,"$4,975 ","$1,330 ",14,Electronics,Printers,UPI,27-Jun-23,David Padilla,Florida,Miami,2023-06
B-26776,"$4,975 ","$1,330 ",14,Electronics,Printers,UPI,27-Dec-24,Connor Morgan,Illinois,Chicago,2024-12
B-26776,"$4,975 ","$1,330 ",14,Electronics,Printers,UPI,25-Jul-21,Robert Stone,New York,Buffalo,2021-07
B-26942,"$1,525 ",$185 ,12,Office Supplies,Pens,Debit Card,11-May-24,John Fields,Florida,Orlando,2024-05
B-26942,"$1,525 ",$185 ,12,Office Supplies,Pens,Debit Card,09-Oct-21,Clayton Smith,Florida,Miami,2021-10
B-26640,$883 ,$117 ,10,Electronics,Laptops,EMI,18-Nov-22,Richard Kelley,California,Los Angeles,2022-11
B-26640,"$8,127 ","$3,551 ",16,Furniture,Tables,Credit Card,18-Nov-22,Richard Kelley,California,Los Angeles,2022-11
B-25890,"$2,516 ",$734 ,19,Furniture,Chairs,UPI,12-Nov-23,Jacqueline Hubbard,New York,New York City,2023-11
B-25102,"$2,975 ",$462 ,14,Office Supplies,Pens,Credit Card,23-Mar-20,Jessica Anderson,New York,New York City,2020-03
B-25426,"$6,851 ","$2,812 ",1,Office Supplies,Markers,Debit Card,04-May-20,Mary Taylor,Florida,Orlando,2020-05
B-25426,"$7,626 ","$1,046 ",15,Furniture,Sofas,Credit Card,04-May-20,Mary Taylor,Florida,Orlando,2020-05
B-25426,"$1,023 ",$78 ,9,Furniture,Tables,UPI,04-May-20,Mary Taylor,Florida,Orlando,2020-05
B-25238,"$7,600 ","$1,098 ",10,Office Supplies,Pens,UPI,09-Nov-23,Walter Crawford,Illinois,Springfield,2023-11
B-25238,"$7,501 ",$262 ,18,Office Supplies,Paper,COD,09-Nov-23,Walter Crawford,Illinois,Springfield,2023-11
B-25051,$725 ,$133 ,6,Office Supplies,Paper,Credit Card,30-Dec-24,Lawrence Robinson,New York,Rochester,2024-12
B-25051,"$7,201 ","$2,685 ",2,Furniture,Tables,Credit Card,30-Dec-24,Lawrence Robinson,New York,Rochester,2024-12
B-26510,"$1,629 ",$265 ,1,Office Supplies,Paper,UPI,11-Feb-25,Douglas Pennington,Texas,Dallas,2025-02
B-26510,"$1,629 ",$265 ,1,Office Supplies,Paper,UPI,23-Jan-24,Ricardo Andrews,California,San Diego,2024-01
B-25104,"$8,971 ","$2,971 ",19,Office Supplies,Binders,Debit Card,28-Nov-20,Paul Raymond,California,San Diego,2020-11
B-25104,"$2,939 ",$894 ,20,Office Supplies,Binders,COD,28-Nov-20,Paul Raymond,California,San Diego,2020-11
B-25553,"$9,380 ",$414 ,11,Electronics,Phones,UPI,30-May-24,Karen Johnson,New York,Rochester,2024-05
B-25553,"$8,558 ","$1,644 ",18,Office Supplies,Binders,Credit Card,30-May-24,Karen Johnson,New York,Rochester,2024-05
B-25553,"$4,080 ",$72 ,17,Office Supplies,Paper,COD,30-May-24,Karen Johnson,New York,Rochester,2024-05
B-26703,"$4,206 ","$1,821 ",17,Electronics,Electronic Games,EMI,23-Jan-22,Juan Erickson,Texas,Austin,2022-01
B-26232,"$5,219 ","$1,180 ",20,Office Supplies,Binders,COD,17-Dec-21,Alexander Reed,New York,New York City,2021-12
B-26232,"$5,219 ","$1,180 ",20,Office Supplies,Binders,COD,03-Feb-23,Jacqueline Harris,California,San Francisco,2023-02
B-25394,"$3,686 ",$760 ,20,Office Supplies,Pens,Debit Card,30-Oct-22,Tyler Park,California,San Francisco,2022-10
B-25394,"$3,686 ",$760 ,20,Office Supplies,Pens,Debit Card,15-Jan-22,Richard Wolfe,Ohio,Columbus,2022-01
B-26157,"$6,045 ","$1,606 ",4,Office Supplies,Paper,COD,14-Dec-23,Sierra Rios,Florida,Orlando,2023-12
B-26157,"$9,337 ",$554 ,11,Office Supplies,Pens,COD,14-Dec-23,Sierra Rios,Florida,Orlando,2023-12
B-25555,"$4,051 ","$1,848 ",12,Electronics,Phones,Credit Card,03-Jul-23,Jessica Richardson,California,San Diego,2023-07
B-25555,"$4,051 ","$1,848 ",12,Electronics,Phones,Credit Card,08-May-21,Kimberly Warren,Ohio,Cincinnati,2021-05
B-25555,"$5,011 ",$866 ,11,Furniture,Bookcases,Credit Card,03-Jul-23,Jessica Richardson,California,San Diego,2023-07
B-25555,"$5,011 ",$866 ,11,Furniture,Bookcases,Credit Card,08-May-21,Kimberly Warren,Ohio,Cincinnati,2021-05
B-26139,"$3,958 ",$630 ,15,Furniture,Sofas,EMI,07-Oct-22,Casey Garcia,Florida,Orlando,2022-10
B-26139,"$3,132 ",$963 ,1,Furniture,Tables,Debit Card,07-Oct-22,Casey Garcia,Florida,Orlando,2022-10
B-25032,"$7,784 ","$2,937 ",12,Office Supplies,Markers,UPI,06-Aug-24,Denise Hampton,California,San Francisco,2024-08
B-25032,"$5,591 ","$1,696 ",3,Office Supplies,Pens,COD,06-Aug-24,Denise Hampton,California,San Francisco,2024-08
B-25032,"$5,122 ","$2,413 ",12,Electronics,Electronic Games,COD,06-Aug-24,Denise Hampton,California,San Francisco,2024-08
B-25730,"$8,293 ","$2,632 ",8,Office Supplies,Binders,COD,05-Jan-22,Justin Rodriguez,Ohio,Cleveland,2022-01
B-25730,"$8,293 ","$2,632 ",8,Office Supplies,Binders,COD,17-Oct-20,Ms. Emily Baxter,New York,Rochester,2020-10
B-25730,"$8,293 ","$2,632 ",8,Office Supplies,Binders,COD,21-Aug-23,Austin White,California,Los Angeles,2023-08
B-25730,"$2,863 ",$205 ,17,Electronics,Phones,UPI,05-Jan-22,Justin Rodriguez,Ohio,Cleveland,2022-01
B-25730,"$2,863 ",$205 ,17,Electronics,Phones,UPI,17-Oct-20,Ms. Emily Baxter,New York,Rochester,2020-10
B-25730,"$2,863 ",$205 ,17,Electronics,Phones,UPI,21-Aug-23,Austin White,California,Los Angeles,2023-08
B-26470,"$3,090 ",$573 ,6,Furniture,Tables,EMI,27-Dec-24,Morgan Montes,California,San Diego,2024-12
B-26470,"$3,090 ",$573 ,6,Furniture,Tables,EMI,18-Jun-21,Christine Mosley,Ohio,Cincinnati,2021-06
B-26470,"$3,090 ",$573 ,6,Furniture,Tables,EMI,27-May-23,Ashley Rodriguez,Texas,Austin,2023-05
B-26470,"$3,090 ",$573 ,6,Furniture,Tables,EMI,12-Oct-21,Elizabeth King,Texas,Dallas,2021-10
B-26470,"$9,683 ","$1,014 ",5,Electronics,Printers,UPI,27-Dec-24,Morgan Montes,California,San Diego,2024-12
B-26470,"$9,683 ","$1,014 ",5,Electronics,Printers,UPI,18-Jun-21,Christine Mosley,Ohio,Cincinnati,2021-06
B-26470,"$9,683 ","$1,014 ",5,Electronics,Printers,UPI,27-May-23,Ashley Rodriguez,Texas,Austin,2023-05
B-26470,"$9,683 ","$1,014 ",5,Electronics,Printers,UPI,12-Oct-21,Elizabeth King,Texas,Dallas,2021-10
B-25988,"$2,463 ",$648 ,18,Furniture,Tables,EMI,19-Sep-22,Connie Holmes,Ohio,Cincinnati,2022-09
B-25568,"$7,811 ","$1,538 ",12,Furniture,Sofas,COD,25-Mar-22,Melissa Peck,Florida,Miami,2022-03
B-26730,"$6,139 ",$451 ,10,Furniture,Tables,Debit Card,26-Feb-22,David Smith,Florida,Orlando,2022-02
B-26730,"$6,139 ",$451 ,10,Furniture,Tables,Debit Card,05-Apr-21,Jacqueline Harris,Texas,Houston,2021-04
B-26730,"$8,636 ","$3,192 ",3,Furniture,Chairs,COD,26-Feb-22,David Smith,Florida,Orlando,2022-02
B-26730,"$8,636 ","$3,192 ",3,Furniture,Chairs,COD,05-Apr-21,Jacqueline Harris,Texas,Houston,2021-04
B-26730,"$4,439 ","$1,712 ",19,Furniture,Sofas,Credit Card,26-Feb-22,David Smith,Florida,Orlando,2022-02
B-26730,"$4,439 ","$1,712 ",19,Furniture,Sofas,Credit Card,05-Apr-21,Jacqueline Harris,Texas,Houston,2021-04
B-25372,"$1,016 ",$172 ,20,Furniture,Tables,Debit Card,16-Nov-20,Heather Jenkins,New York,Buffalo,2020-11
B-25372,"$5,768 ","$2,059 ",14,Furniture,Tables,UPI,16-Nov-20,Heather Jenkins,New York,Buffalo,2020-11
B-25372,"$1,217 ",$151 ,3,Furniture,Tables,Credit Card,16-Nov-20,Heather Jenkins,New York,Buffalo,2020-11
B-26026,$953 ,$93 ,2,Office Supplies,Paper,Debit Card,12-Dec-24,Kelsey Castaneda,Ohio,Cleveland,2024-12
B-26026,$953 ,$93 ,2,Office Supplies,Paper,Debit Card,06-Apr-23,Katherine Harris,California,Los Angeles,2023-04
B-26026,"$7,355 ","$1,034 ",3,Furniture,Sofas,COD,12-Dec-24,Kelsey Castaneda,Ohio,Cleveland,2024-12
B-26026,"$7,355 ","$1,034 ",3,Furniture,Sofas,COD,06-Apr-23,Katherine Harris,California,Los Angeles,2023-04
B-26026,"$1,843 ",$248 ,3,Electronics,Phones,Credit Card,12-Dec-24,Kelsey Castaneda,Ohio,Cleveland,2024-12
B-26026,"$1,843 ",$248 ,3,Electronics,Phones,Credit Card,06-Apr-23,Katherine Harris,California,Los Angeles,2023-04
B-26026,"$1,603 ",$361 ,10,Office Supplies,Pens,Debit Card,12-Dec-24,Kelsey Castaneda,Ohio,Cleveland,2024-12
B-26026,"$1,603 ",$361 ,10,Office Supplies,Pens,Debit Card,06-Apr-23,Katherine Harris,California,Los Angeles,2023-04
B-25295,"$2,025 ",$528 ,1,Office Supplies,Pens,Credit Card,28-Jan-24,Paul Rogers,Florida,Miami,2024-01
B-25295,"$6,800 ",$167 ,16,Office Supplies,Binders,EMI,28-Jan-24,Paul Rogers,Florida,Miami,2024-01
B-26121,"$1,126 ",$55 ,1,Furniture,Bookcases,UPI,16-Jan-22,Jon Banks,Florida,Tampa,2022-01
B-26121,"$1,126 ",$55 ,1,Furniture,Bookcases,UPI,16-Dec-22,Michelle Williams,New York,Buffalo,2022-12
B-25560,"$7,533 ","$3,508 ",12,Furniture,Tables,UPI,13-Jul-23,Andrew Allen,California,San Diego,2023-07
B-25560,"$4,734 ","$1,178 ",16,Office Supplies,Binders,Credit Card,13-Jul-23,Andrew Allen,California,San Diego,2023-07
B-25560,"$4,074 ","$1,175 ",6,Electronics,Electronic Games,Debit Card,13-Jul-23,Andrew Allen,California,San Diego,2023-07
B-25560,"$2,334 ",$484 ,3,Furniture,Sofas,Credit Card,13-Jul-23,Andrew Allen,California,San Diego,2023-07
B-26076,"$2,750 ","$1,239 ",11,Electronics,Phones,Debit Card,10-Mar-25,Vanessa Bauer,New York,Buffalo,2025-03
B-26076,"$2,750 ","$1,239 ",11,Electronics,Phones,Debit Card,24-Sep-24,Sean Smith,Ohio,Cleveland,2024-09
B-26076,"$8,639 ","$3,104 ",19,Office Supplies,Pens,EMI,10-Mar-25,Vanessa Bauer,New York,Buffalo,2025-03
B-26076,"$8,639 ","$3,104 ",19,Office Supplies,Pens,EMI,24-Sep-24,Sean Smith,Ohio,Cleveland,2024-09
B-25872,"$3,808 ","$1,192 ",4,Office Supplies,Markers,UPI,13-Apr-20,Shelly Sweeney,New York,New York City,2020-04
B-25872,"$2,588 ",$705 ,16,Office Supplies,Pens,Credit Card,13-Apr-20,Shelly Sweeney,New York,New York City,2020-04
B-26185,"$1,591 ",$727 ,5,Electronics,Electronic Games,Credit Card,27-Jun-22,Emily Gill,Illinois,Springfield,2022-06
B-26185,"$1,591 ",$727 ,5,Electronics,Electronic Games,Credit Card,14-Mar-21,Brian Patrick,Florida,Tampa,2021-03
B-26185,"$1,591 ",$727 ,5,Electronics,Electronic Games,Credit Card,23-Feb-22,Dr. Sarah Booth,Ohio,Cincinnati,2022-02
B-26259,"$1,757 ",$622 ,10,Furniture,Chairs,UPI,29-Mar-22,Douglas Mcfarland,Ohio,Cleveland,2022-03
B-26259,"$1,757 ",$622 ,10,Furniture,Chairs,UPI,20-Nov-22,Kayla Ross,Illinois,Peoria,2022-11
B-25142,"$6,940 ",$253 ,15,Furniture,Bookcases,Debit Card,12-Nov-21,Marc Strickland,Florida,Orlando,2021-11
B-25142,"$5,105 ",$465 ,5,Electronics,Printers,UPI,12-Nov-21,Marc Strickland,Florida,Orlando,2021-11
B-25326,"$5,578 ",$277 ,16,Furniture,Tables,COD,17-Aug-21,Charlene Brown,Florida,Miami,2021-08
B-25326,"$5,578 ",$277 ,16,Furniture,Tables,COD,16-May-22,Charles Smith,Ohio,Columbus,2022-05
B-26795,"$5,224 ","$1,958 ",16,Furniture,Chairs,Credit Card,16-Jul-23,Karen Townsend,Texas,Houston,2023-07
B-26795,"$5,002 ","$1,801 ",11,Office Supplies,Markers,Credit Card,16-Jul-23,Karen Townsend,Texas,Houston,2023-07
